dataset_version,dataset_doi,archive_filename,archive_md5,archive_sha256,dataset_relative_image_path,dataset_relative_mask_path,stable_source_image_id,mission,rover,camera,sequence_id,label_role,agreement_threshold,label_scheme,image_width,image_height,mask_width,mask_height,valid_pixel_fraction,per_class_pixel_counts_json,candidate_image_count,stem_relationship,split_name
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397586934EDR_F0010008AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397586934EDR_F0010008AUT_04096M1.png,NLA_397586934EDR_F0010008AUT_04096M1,msl,curiosity,ncam,F0010008AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.00000000,"{""255"": 1048576}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681339EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681339EDR_F0020000AUT_04096M1.png,NLA_397681339EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.46911907,"{""0"": 491907, ""255"": 556669}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681372EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681372EDR_F0020000AUT_04096M1.png,NLA_397681372EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.43942165,"{""0"": 460767, ""255"": 587809}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681398EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681398EDR_F0020000AUT_04096M1.png,NLA_397681398EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.60831547,"{""0"": 637865, ""255"": 410711}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681429EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681429EDR_F0020000AUT_04096M1.png,NLA_397681429EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.71473122,"{""0"": 749450, ""255"": 299126}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681455EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681455EDR_F0020000AUT_04096M1.png,NLA_397681455EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.70176029,"{""0"": 735849, ""255"": 312727}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681486EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681486EDR_F0020000AUT_04096M1.png,NLA_397681486EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.77075672,"{""0"": 808197, ""255"": 240379}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681520EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681520EDR_F0020000AUT_04096M1.png,NLA_397681520EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.81106663,"{""0"": 850465, ""255"": 198111}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681553EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681553EDR_F0020000AUT_04096M1.png,NLA_397681553EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.83138466,"{""0"": 871770, ""255"": 176806}",1,exact,train
ai4mars-dataset-merged-0.6,10.5281/zenodo.15995036,ai4mars-dataset-merged-0.6.zip,daf80a86021253292e6c425f97baa5c6,,msl/ncam/images/edr/NLA_397681586EDR_F0020000AUT_04096M1.JPG,msl/ncam/labels/train/NLA_397681586EDR_F0020000AUT_04096M1.png,NLA_397681586EDR_F0020000AUT_04096M1,msl,curiosity,ncam,F0020000AUT,crowdsourced_train,,NAV,1024,1024,1024,1024,0.78419495,"{""0"": 822288, ""255"": 226288}",1,exact,train
