component_id,image_id,primary_disposition,primary_kind,primary_reason,repeat_disposition,repeat_kind,repeat_reason,v2.1_disposition,v2.1_kind,v2.1_reason
1,NLB_463551084EDR_F0411534NCAM00385M1,,,,,,,,,
2,NLB_463551084EDR_F0411534NCAM00385M1,,,,,,,,,
3,NLB_463551084EDR_F0411534NCAM00385M1,,,,,,,,,
4,NLB_463551084EDR_F0411534NCAM00385M1,,,,,,,,,
1,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
2,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
3,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
4,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
5,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
6,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
7,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
8,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
9,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
10,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
11,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
12,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
13,NLB_517255503EDR_F0541610NCAM07753M1,,,,,,,,,
1,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
2,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
3,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
4,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
5,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
6,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
7,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
8,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
9,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
10,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
11,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
12,NLB_483955685EDR_F0470598NCAM00320M1,,,,,,,,,
1,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
2,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
3,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
4,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
5,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
6,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
7,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
8,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
9,NLB_490004046EDR_F0482122NCAM00281M1,,,,,,,,,
1,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
2,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
3,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
4,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
5,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
6,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
7,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
8,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
9,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
10,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
11,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
12,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
13,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
14,NLB_548252623EDR_F0631150NCAM00312M1,,,,,,,,,
1,NLB_528261206EDR_F0580738NCAM00385M1,,,,,,,,,
2,NLB_528261206EDR_F0580738NCAM00385M1,,,,,,,,,
3,NLB_528261206EDR_F0580738NCAM00385M1,,,,,,,,,
4,NLB_528261206EDR_F0580738NCAM00385M1,,,,,,,,,
