comparison,historical_area_pixels,historical_instance_id,historical_source_candidate_component_ids,image_id,mask_iou,v21_area_pixels,v21_instance_id,v21_source_candidate_component_ids
primary_to_v2.1,2122,NLB_463551084EDR_F0411534NCAM00385M1:rock-003,[4],NLB_463551084EDR_F0411534NCAM00385M1,0.02626094205919133,340,NLB_463551084EDR_F0411534NCAM00385M1:rock-004,[4]
primary_to_v2.1,2567,NLB_483955685EDR_F0470598NCAM00320M1:rock-012,[8],NLB_483955685EDR_F0470598NCAM00320M1,0.1701824401368301,1538,NLB_483955685EDR_F0470598NCAM00320M1:rock-008,[8]
repeat_to_v2.1,2133,NLB_483955685EDR_F0470598NCAM00320M1:rock-008,[8],NLB_483955685EDR_F0470598NCAM00320M1,0.26194568580268135,1538,NLB_483955685EDR_F0470598NCAM00320M1:rock-008,[8]
primary_to_v2.1,33705,NLB_548252623EDR_F0631150NCAM00312M1:rock-003,[3],NLB_548252623EDR_F0631150NCAM00312M1,0.0007837868099876833,2047,NLB_548252623EDR_F0631150NCAM00312M1:rock-003,[3]
primary_to_v2.1,79275,NLB_548252623EDR_F0631150NCAM00312M1:rock-008,[8],NLB_548252623EDR_F0631150NCAM00312M1,0.7356625687411088,84214,NLB_548252623EDR_F0631150NCAM00312M1:rock-008,[8]
repeat_to_v2.1,24393,NLB_548252623EDR_F0631150NCAM00312M1:rock-004,[3],NLB_548252623EDR_F0631150NCAM00312M1,0.0025024645484188974,2047,NLB_548252623EDR_F0631150NCAM00312M1:rock-003,[3]
repeat_to_v2.1,71343,NLB_548252623EDR_F0631150NCAM00312M1:rock-009,[8],NLB_548252623EDR_F0631150NCAM00312M1,0.7231459429520908,84214,NLB_548252623EDR_F0631150NCAM00312M1:rock-008,[8]
primary_to_v2.1,6367,NLB_528261206EDR_F0580738NCAM00385M1:rock-001,[1],NLB_528261206EDR_F0580738NCAM00385M1,0.45952768729641696,11556,NLB_528261206EDR_F0580738NCAM00385M1:rock-001,[1]
primary_to_v2.1,7228,NLB_528261206EDR_F0580738NCAM00385M1:rock-002,[2],NLB_528261206EDR_F0580738NCAM00385M1,0.4919793966151582,13048,NLB_528261206EDR_F0580738NCAM00385M1:rock-002,[2]
primary_to_v2.1,15305,NLB_528261206EDR_F0580738NCAM00385M1:rock-004,"[3, 4]",NLB_528261206EDR_F0580738NCAM00385M1,0.7518100202722271,14940,NLB_528261206EDR_F0580738NCAM00385M1:rock-004,[4]
repeat_to_v2.1,6808,NLB_528261206EDR_F0580738NCAM00385M1:rock-001,[1],NLB_528261206EDR_F0580738NCAM00385M1,0.44348372897343186,11556,NLB_528261206EDR_F0580738NCAM00385M1:rock-001,[1]
repeat_to_v2.1,7734,NLB_528261206EDR_F0580738NCAM00385M1:rock-002,[2],NLB_528261206EDR_F0580738NCAM00385M1,0.5470855356212313,13048,NLB_528261206EDR_F0580738NCAM00385M1:rock-002,[2]
repeat_to_v2.1,21885,NLB_528261206EDR_F0580738NCAM00385M1:rock-004,[4],NLB_528261206EDR_F0580738NCAM00385M1,0.6740919216256762,14940,NLB_528261206EDR_F0580738NCAM00385M1:rock-004,[4]
