best_iou_against_opposite,comparison,image_id,instance_id,side,source_candidate_component_ids
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-001,primary,[1]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-004,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-005,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-006,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-007,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-008,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-009,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-010,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-011,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-012,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-013,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-014,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-015,primary,[2]
0.0,primary_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-016,primary,[2]
0.0,repeat_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-002,repeat,[2]
0.0,repeat_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-003,repeat,[2]
0.0,repeat_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-004,repeat,[2]
0.0,repeat_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-005,repeat,[2]
0.0,repeat_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-006,repeat,[2]
0.0,repeat_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-008,repeat,[4]
0.0,repeat_to_v2.1,NLB_463551084EDR_F0411534NCAM00385M1,NLB_463551084EDR_F0411534NCAM00385M1:rock-004,v2.1,[4]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-001,primary,[1]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-002,primary,[1]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-003,primary,[1]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-004,primary,[2]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-005,primary,[2]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-006,primary,[2]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-007,primary,[3]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-008,primary,[4]
0.0,primary_to_v2.1,NLB_517255503EDR_F0541610NCAM07753M1,NLB_517255503EDR_F0541610NCAM07753M1:rock-009,primary,[5]
