absolute_area_difference_pixels,image_id,mask_iou,primary_area_pixels,primary_instance_id,primary_source_candidate_component_ids,repeat_area_pixels,repeat_instance_id,repeat_source_candidate_component_ids,repeat_to_primary_area_ratio
1560,NLB_483340393EDR_F0470522NCAM00253M1,0.8391226499552372,19763,NLB_483340393EDR_F0470522NCAM00253M1:rock-001,[1],21323,NLB_483340393EDR_F0470522NCAM00253M1:rock-001,[1],1.0789353843040024
295,NLB_483340393EDR_F0470522NCAM00253M1,0.8553682342502218,3284,NLB_483340393EDR_F0470522NCAM00253M1:rock-002,[1],2989,NLB_483340393EDR_F0470522NCAM00253M1:rock-002,[1],0.9101705237515225
7637,NLB_483340393EDR_F0470522NCAM00253M1,0.7035451539309425,29410,NLB_483340393EDR_F0470522NCAM00253M1:rock-003,[2],37047,NLB_483340393EDR_F0470522NCAM00253M1:rock-003,[2],1.259673580414825
8332,NLB_517255503EDR_F0541610NCAM07753M1,0.16726119698771305,1724,NLB_517255503EDR_F0541610NCAM07753M1:rock-001,[1],10056,NLB_517255503EDR_F0541610NCAM07753M1:rock-001,[1],5.832946635730859
4060,NLB_517255503EDR_F0541610NCAM07753M1,0.501106323512286,4415,NLB_517255503EDR_F0541610NCAM07753M1:rock-002,[1],8475,NLB_517255503EDR_F0541610NCAM07753M1:rock-002,[1],1.9195922989807475
1063,NLB_517255503EDR_F0541610NCAM07753M1,0.5353837778987479,2289,NLB_517255503EDR_F0541610NCAM07753M1:rock-003,[1],3352,NLB_517255503EDR_F0541610NCAM07753M1:rock-003,[1],1.4643949322848406
5114,NLB_517255503EDR_F0541610NCAM07753M1,0.21393184206575588,1486,NLB_517255503EDR_F0541610NCAM07753M1:rock-004,[2],6600,NLB_517255503EDR_F0541610NCAM07753M1:rock-004,[2],4.441453566621804
382,NLB_517255503EDR_F0541610NCAM07753M1,0.6228323699421965,932,NLB_517255503EDR_F0541610NCAM07753M1:rock-005,[2],1314,NLB_517255503EDR_F0541610NCAM07753M1:rock-005,[2],1.409871244635193
484,NLB_517255503EDR_F0541610NCAM07753M1,0.5042567125081859,2055,NLB_517255503EDR_F0541610NCAM07753M1:rock-007,[3],2539,NLB_517255503EDR_F0541610NCAM07753M1:rock-006,[3],1.2355231143552312
3460,NLB_517255503EDR_F0541610NCAM07753M1,0.16946711473835813,4166,NLB_517255503EDR_F0541610NCAM07753M1:rock-008,[4],706,NLB_517255503EDR_F0541610NCAM07753M1:rock-007,[4],0.16946711473835813
610,NLB_517255503EDR_F0541610NCAM07753M1,0.1019522776572668,1829,NLB_517255503EDR_F0541610NCAM07753M1:rock-009,[5],1219,NLB_517255503EDR_F0541610NCAM07753M1:rock-016,[11],0.6664844177145981
249,NLB_517255503EDR_F0541610NCAM07753M1,0.6873126873126874,2409,NLB_517255503EDR_F0541610NCAM07753M1:rock-013,[9],2658,NLB_517255503EDR_F0541610NCAM07753M1:rock-013,[9],1.1033623910336239
90,NLB_483955685EDR_F0470598NCAM00320M1,0.8486214797841674,12460,NLB_483955685EDR_F0470598NCAM00320M1:rock-002,[9],12550,NLB_483955685EDR_F0470598NCAM00320M1:rock-009,[9],1.007223113964687
768,NLB_483955685EDR_F0470598NCAM00320M1,0.8769654088050315,24259,NLB_483955685EDR_F0470598NCAM00320M1:rock-003,[12],23491,NLB_483955685EDR_F0470598NCAM00320M1:rock-012,[12],0.9683416463992744
1363,NLB_483955685EDR_F0470598NCAM00320M1,0.8769015021867275,38801,NLB_483955685EDR_F0470598NCAM00320M1:rock-004,[12],40164,NLB_483955685EDR_F0470598NCAM00320M1:rock-013,[12],1.0351279606195716
9856,NLB_483955685EDR_F0470598NCAM00320M1,0.3408580382151474,19247,NLB_483955685EDR_F0470598NCAM00320M1:rock-006,[2],29103,NLB_483955685EDR_F0470598NCAM00320M1:rock-002,[2],1.5120798046448798
434,NLB_483955685EDR_F0470598NCAM00320M1,0.6596045197740112,2567,NLB_483955685EDR_F0470598NCAM00320M1:rock-012,[8],2133,NLB_483955685EDR_F0470598NCAM00320M1:rock-008,[8],0.830931047915855
1329,NLB_490004046EDR_F0482122NCAM00281M1,0.4810620851229988,1232,NLB_490004046EDR_F0482122NCAM00281M1:rock-001,[1],2561,NLB_490004046EDR_F0482122NCAM00281M1:rock-001,[1],2.0787337662337664
3003,NLB_490004046EDR_F0482122NCAM00281M1,0.30326764359103925,6236,NLB_490004046EDR_F0482122NCAM00281M1:rock-005,[1],9239,NLB_490004046EDR_F0482122NCAM00281M1:rock-002,[1],1.4815586914688903
129,NLB_490004046EDR_F0482122NCAM00281M1,0.6145146088595664,2634,NLB_490004046EDR_F0482122NCAM00281M1:rock-010,[5],2505,NLB_490004046EDR_F0482122NCAM00281M1:rock-003,[1],0.9510250569476082
9312,NLB_548252623EDR_F0631150NCAM00312M1,0.6263471712902052,33705,NLB_548252623EDR_F0631150NCAM00312M1:rock-003,[3],24393,NLB_548252623EDR_F0631150NCAM00312M1:rock-004,[3],0.7237205162438808
7932,NLB_548252623EDR_F0631150NCAM00312M1,0.888153441143287,79275,NLB_548252623EDR_F0631150NCAM00312M1:rock-008,[8],71343,NLB_548252623EDR_F0631150NCAM00312M1:rock-009,[8],0.8999432355723747
441,NLB_528261206EDR_F0580738NCAM00385M1,0.6647712913823604,6367,NLB_528261206EDR_F0580738NCAM00385M1:rock-001,[1],6808,NLB_528261206EDR_F0580738NCAM00385M1:rock-001,[1],1.0692633893513428
506,NLB_528261206EDR_F0580738NCAM00385M1,0.6418303522440469,7228,NLB_528261206EDR_F0580738NCAM00385M1:rock-002,[2],7734,NLB_528261206EDR_F0580738NCAM00385M1:rock-002,[2],1.070005534034311
6580,NLB_528261206EDR_F0580738NCAM00385M1,0.6973984481971702,15305,NLB_528261206EDR_F0580738NCAM00385M1:rock-004,"[3, 4]",21885,NLB_528261206EDR_F0580738NCAM00385M1:rock-004,[4],1.4299248611564848
213,NLB_463551084EDR_F0411534NCAM00385M1,0.6894383906119028,2122,NLB_463551084EDR_F0411534NCAM00385M1:rock-003,[4],1909,NLB_463551084EDR_F0411534NCAM00385M1:rock-008,[4],0.8996229971724788
29568,NLB_463551084EDR_F0411534NCAM00385M1,0.3915796382448893,21260,NLB_463551084EDR_F0411534NCAM00385M1:rock-004,[2],50828,NLB_463551084EDR_F0411534NCAM00385M1:rock-002,[2],2.3907808090310443
524,NLB_463551084EDR_F0411534NCAM00385M1,0.7257417802726543,3490,NLB_463551084EDR_F0411534NCAM00385M1:rock-005,[2],2966,NLB_463551084EDR_F0411534NCAM00385M1:rock-003,[2],0.8498567335243553
78,NLB_463551084EDR_F0411534NCAM00385M1,0.5436893203883495,1233,NLB_463551084EDR_F0411534NCAM00385M1:rock-006,[2],1311,NLB_463551084EDR_F0411534NCAM00385M1:rock-004,[2],1.0632603406326033
550,NLB_463551084EDR_F0411534NCAM00385M1,0.6999707002636977,2626,NLB_463551084EDR_F0411534NCAM00385M1:rock-008,[2],3176,NLB_463551084EDR_F0411534NCAM00385M1:rock-005,[2],1.2094440213252093
6360,NLB_463551084EDR_F0411534NCAM00385M1,0.139564961787184,1666,NLB_463551084EDR_F0411534NCAM00385M1:rock-011,[2],8026,NLB_463551084EDR_F0411534NCAM00385M1:rock-006,[2],4.817527010804322
