pilot_rank,stable_source_image_id,split,sequence_id,image_path,mask_path,annotation_status,selection_strata,component_count,big_rock_pixel_count,bedrock_adjacent_pixels,geometry_status,selection_seed,selection_rationale
1,NLB_485122672EDR_F0480458NCAM12753M1,train,F0480458NCAM12753M1,msl/ncam/images/edr/NLB_485122672EDR_F0480458NCAM12753M1.JPG,msl/ncam/labels/train/NLB_485122672EDR_F0480458NCAM12753M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,36,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
2,NLB_461148082EDR_F0401286NCAM00265M1,train,F0401286NCAM00265M1,msl/ncam/images/edr/NLB_461148082EDR_F0401286NCAM00265M1.JPG,msl/ncam/labels/train/NLB_461148082EDR_F0401286NCAM00265M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,3,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
3,NLB_532080163EDR_F0592242NCAM00276M1,train,F0592242NCAM00276M1,msl/ncam/images/edr/NLB_532080163EDR_F0592242NCAM00276M1.JPG,msl/ncam/labels/train/NLB_532080163EDR_F0592242NCAM00276M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,3,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
4,NLB_538115968EDR_F0601650NCAM00653M1,val,F0601650NCAM00653M1,msl/ncam/images/edr/NLB_538115968EDR_F0601650NCAM00653M1.JPG,msl/ncam/labels/train/NLB_538115968EDR_F0601650NCAM00653M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,43,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
5,NLB_582506787EDR_F0710000NCAM00266M1,train,F0710000NCAM00266M1,msl/ncam/images/edr/NLB_582506787EDR_F0710000NCAM00266M1.JPG,msl/ncam/labels/train/NLB_582506787EDR_F0710000NCAM00266M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,6,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
6,NLB_501719801EDR_F0511102NCAM07753M1,train,F0511102NCAM07753M1,msl/ncam/images/edr/NLB_501719801EDR_F0511102NCAM07753M1.JPG,msl/ncam/labels/train/NLB_501719801EDR_F0511102NCAM07753M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,10,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
7,NLB_605858363EDR_F0750000NCAM00289M1,train,F0750000NCAM00289M1,msl/ncam/images/edr/NLB_605858363EDR_F0750000NCAM00289M1.JPG,msl/ncam/labels/train/NLB_605858363EDR_F0750000NCAM00289M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,2,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
8,NLB_514326109EDR_F0540622NCAM00385M1,train,F0540622NCAM00385M1,msl/ncam/images/edr/NLB_514326109EDR_F0540622NCAM00385M1.JPG,msl/ncam/labels/train/NLB_514326109EDR_F0540622NCAM00385M1.png,candidate_unreviewed,isolated_candidate|bedrock_big_rock_boundary|rgb_only_or_geometry_unresolved,1,3224,7,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
9,NLB_557297963EDR_F0652720NCAM07753M1,train,F0652720NCAM07753M1,msl/ncam/images/edr/NLB_557297963EDR_F0652720NCAM07753M1.JPG,msl/ncam/labels/train/NLB_557297963EDR_F0652720NCAM07753M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,30,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
10,NLB_531910192EDR_F0591998NCAM00275M1,train,F0591998NCAM00275M1,msl/ncam/images/edr/NLB_531910192EDR_F0591998NCAM00275M1.JPG,msl/ncam/labels/train/NLB_531910192EDR_F0591998NCAM00275M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,1,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
11,NLB_485383863EDR_F0480680NCAM00266M1,train,F0480680NCAM00266M1,msl/ncam/images/edr/NLB_485383863EDR_F0480680NCAM00266M1.JPG,msl/ncam/labels/train/NLB_485383863EDR_F0480680NCAM00266M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,33,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
12,NLB_579407334EDR_F0701538NCAM00320M1,val,F0701538NCAM00320M1,msl/ncam/images/edr/NLB_579407334EDR_F0701538NCAM00320M1.JPG,msl/ncam/labels/train/NLB_579407334EDR_F0701538NCAM00320M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,7,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
13,NLB_530568525EDR_F0582136NCAM05113M1,val,F0582136NCAM05113M1,msl/ncam/images/edr/NLB_530568525EDR_F0582136NCAM05113M1.JPG,msl/ncam/labels/train/NLB_530568525EDR_F0582136NCAM05113M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,2,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
14,NLB_460794047EDR_F0400660NCAM00262M1,train,F0400660NCAM00262M1,msl/ncam/images/edr/NLB_460794047EDR_F0400660NCAM00262M1.JPG,msl/ncam/labels/train/NLB_460794047EDR_F0400660NCAM00262M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,7,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
15,NLB_458749903EDR_F0390726NCAM00264M1,train,F0390726NCAM00264M1,msl/ncam/images/edr/NLB_458749903EDR_F0390726NCAM00264M1.JPG,msl/ncam/labels/train/NLB_458749903EDR_F0390726NCAM00264M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,2,0,unresolved_no_explicit_pair_metadata,42,deterministic development-only candidate selection; requires manual instance review
