split,stable_source_image_id,sequence_id,image_path,mask_path,component_id,area_pixels,bbox_left,bbox_top,bbox_width,bbox_height,centroid_x,centroid_y,aspect_ratio,border_touching,tiny_component,very_large_component,unusual_aspect_ratio
train,NLA_401399597EDR_F0042002NCAM00200M1,F0042002NCAM00200M1,msl/ncam/images/edr/NLA_401399597EDR_F0042002NCAM00200M1.JPG,msl/ncam/labels/train/NLA_401399597EDR_F0042002NCAM00200M1.png,1,21400,198,5,260,119,335.982897,51.133224,2.184874,False,False,False,False
train,NLA_401400334EDR_F0042002NCAM00203M1,F0042002NCAM00203M1,msl/ncam/images/edr/NLA_401400334EDR_F0042002NCAM00203M1.JPG,msl/ncam/labels/train/NLA_401400334EDR_F0042002NCAM00203M1.png,1,20684,205,3,252,111,337.688455,48.07808,2.27027,False,False,False,False
train,NLA_401400705EDR_F0042002NCAM00203M1,F0042002NCAM00203M1,msl/ncam/images/edr/NLA_401400705EDR_F0042002NCAM00203M1.JPG,msl/ncam/labels/train/NLA_401400705EDR_F0042002NCAM00203M1.png,1,17386,208,2,232,105,334.963706,47.202519,2.209524,False,False,False,False
train,NLA_401400705EDR_F0042002NCAM00203M1,F0042002NCAM00203M1,msl/ncam/images/edr/NLA_401400705EDR_F0042002NCAM00203M1.JPG,msl/ncam/labels/train/NLA_401400705EDR_F0042002NCAM00203M1.png,2,10,439,9,10,1,443.5,9.0,10.0,False,True,False,True
train,NLA_401316664EDR_F0042002NCAM00429M1,F0042002NCAM00429M1,msl/ncam/images/edr/NLA_401316664EDR_F0042002NCAM00429M1.JPG,msl/ncam/labels/train/NLA_401316664EDR_F0042002NCAM00429M1.png,1,24675,817,772,200,181,937.994772,863.032462,1.104972,False,False,False,False
train,NLA_401316692EDR_F0042002NCAM00429M1,F0042002NCAM00429M1,msl/ncam/images/edr/NLA_401316692EDR_F0042002NCAM00429M1.JPG,msl/ncam/labels/train/NLA_401316692EDR_F0042002NCAM00429M1.png,1,26522,210,752,247,180,337.921688,842.961654,1.372222,False,False,False,False
train,NLA_401317063EDR_F0042002NCAM00431M1,F0042002NCAM00431M1,msl/ncam/images/edr/NLA_401317063EDR_F0042002NCAM00431M1.JPG,msl/ncam/labels/train/NLA_401317063EDR_F0042002NCAM00431M1.png,1,26669,483,571,238,177,612.02396,662.270764,1.344633,False,False,False,False
train,NLA_401317091EDR_F0042002NCAM00431M1,F0042002NCAM00431M1,msl/ncam/images/edr/NLA_401317091EDR_F0042002NCAM00431M1.JPG,msl/ncam/labels/train/NLA_401317091EDR_F0042002NCAM00431M1.png,1,15907,5,610,120,188,55.286163,703.804111,0.638298,False,False,False,False
train,NLA_401578690EDR_F0042100NCAM00308M1,F0042100NCAM00308M1,msl/ncam/images/edr/NLA_401578690EDR_F0042100NCAM00308M1.JPG,msl/ncam/labels/train/NLA_401578690EDR_F0042100NCAM00308M1.png,1,53150,488,376,320,271,660.483706,522.769069,1.180812,False,False,True,False
train,NLA_401755662EDR_F0042274NCAM00307M1,F0042274NCAM00307M1,msl/ncam/images/edr/NLA_401755662EDR_F0042274NCAM00307M1.JPG,msl/ncam/labels/train/NLA_401755662EDR_F0042274NCAM00307M1.png,1,3743,484,495,100,66,529.345178,532.678066,1.515152,False,False,False,False
train,NLA_401855285EDR_F0042778NCAM00434M1,F0042778NCAM00434M1,msl/ncam/images/edr/NLA_401855285EDR_F0042778NCAM00434M1.JPG,msl/ncam/labels/train/NLA_401855285EDR_F0042778NCAM00434M1.png,1,4833,626,301,133,65,699.013242,338.724188,2.046154,False,False,False,False
train,NLA_402109598EDR_F0043076NCAM00437M1,F0043076NCAM00437M1,msl/ncam/images/edr/NLA_402109598EDR_F0043076NCAM00437M1.JPG,msl/ncam/labels/train/NLA_402109598EDR_F0043076NCAM00437M1.png,1,672,271,165,30,34,282.532738,184.331845,0.882353,False,False,False,False
train,NLA_402109598EDR_F0043076NCAM00437M1,F0043076NCAM00437M1,msl/ncam/images/edr/NLA_402109598EDR_F0043076NCAM00437M1.JPG,msl/ncam/labels/train/NLA_402109598EDR_F0043076NCAM00437M1.png,2,904,339,167,52,28,362.721239,184.425885,1.857143,False,False,False,False
train,NLA_402116930EDR_F0043200NCAM00440M1,F0043200NCAM00440M1,msl/ncam/images/edr/NLA_402116930EDR_F0043200NCAM00440M1.JPG,msl/ncam/labels/train/NLA_402116930EDR_F0043200NCAM00440M1.png,1,177,935,222,32,7,951.988701,225.40678,4.571429,False,False,False,True
train,NLA_402461301EDR_F0043416NCAM00443M1,F0043416NCAM00443M1,msl/ncam/images/edr/NLA_402461301EDR_F0043416NCAM00443M1.JPG,msl/ncam/labels/train/NLA_402461301EDR_F0043416NCAM00443M1.png,1,69352,106,28,583,270,348.82684,144.588577,2.159259,False,False,True,False
train,NLA_402461301EDR_F0043416NCAM00443M1,F0043416NCAM00443M1,msl/ncam/images/edr/NLA_402461301EDR_F0043416NCAM00443M1.JPG,msl/ncam/labels/train/NLA_402461301EDR_F0043416NCAM00443M1.png,2,8316,873,43,146,105,964.712241,81.351491,1.390476,False,False,False,False
