calibration_rank,pilot_rank,stable_source_image_id,split,sequence_id,image_path,mask_path,annotation_status,selection_strata,component_count,big_rock_pixel_count,bedrock_adjacent_pixels,geometry_status,selection_seed,calibration_selection_seed,calibration_strata,selection_rationale
1,14,NLB_460794047EDR_F0400660NCAM00262M1,train,F0400660NCAM00262M1,msl/ncam/images/edr/NLB_460794047EDR_F0400660NCAM00262M1.JPG,msl/ncam/labels/train/NLB_460794047EDR_F0400660NCAM00262M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,7,0,unresolved_no_explicit_pair_metadata,42,42,isolated_candidate|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
2,7,NLB_605858363EDR_F0750000NCAM00289M1,train,F0750000NCAM00289M1,msl/ncam/images/edr/NLB_605858363EDR_F0750000NCAM00289M1.JPG,msl/ncam/labels/train/NLB_605858363EDR_F0750000NCAM00289M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,2,0,unresolved_no_explicit_pair_metadata,42,42,isolated_candidate|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
3,15,NLB_458749903EDR_F0390726NCAM00264M1,train,F0390726NCAM00264M1,msl/ncam/images/edr/NLB_458749903EDR_F0390726NCAM00264M1.JPG,msl/ncam/labels/train/NLB_458749903EDR_F0390726NCAM00264M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,2,0,unresolved_no_explicit_pair_metadata,42,42,isolated_candidate|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
4,9,NLB_557297963EDR_F0652720NCAM07753M1,train,F0652720NCAM07753M1,msl/ncam/images/edr/NLB_557297963EDR_F0652720NCAM07753M1.JPG,msl/ncam/labels/train/NLB_557297963EDR_F0652720NCAM07753M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,30,0,unresolved_no_explicit_pair_metadata,42,42,isolated_candidate|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
5,134,NLB_579308863EDR_F0701538NCAM00307M1,train,F0701538NCAM00307M1,msl/ncam/images/edr/NLB_579308863EDR_F0701538NCAM00307M1.JPG,msl/ncam/labels/train/NLB_579308863EDR_F0701538NCAM00307M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,5,204092,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
6,88,NLB_528261206EDR_F0580738NCAM00385M1,train,F0580738NCAM00385M1,msl/ncam/images/edr/NLB_528261206EDR_F0580738NCAM00385M1.JPG,msl/ncam/labels/train/NLB_528261206EDR_F0580738NCAM00385M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,30626,7,unresolved_no_explicit_pair_metadata,42,42,bedrock_big_rock_boundary|fragmented_looking|multiple_candidate_regions|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
7,51,NLB_548249342EDR_F0631150NCAM00274M1,train,F0631150NCAM00274M1,msl/ncam/images/edr/NLB_548249342EDR_F0631150NCAM00274M1.JPG,msl/ncam/labels/train/NLB_548249342EDR_F0631150NCAM00274M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,5,61342,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
8,68,NLB_555692594EDR_F0650096NCAM00385M1,val,F0650096NCAM00385M1,msl/ncam/images/edr/NLB_555692594EDR_F0650096NCAM00385M1.JPG,msl/ncam/labels/train/NLB_555692594EDR_F0650096NCAM00385M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|tiny_component_candidate|rgb_only_or_geometry_unresolved,8,25429,2,unresolved_no_explicit_pair_metadata,42,42,bedrock_big_rock_boundary|fragmented_looking|multiple_candidate_regions|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
9,34,NLB_463551084EDR_F0411534NCAM00385M1,train,F0411534NCAM00385M1,msl/ncam/images/edr/NLB_463551084EDR_F0411534NCAM00385M1.JPG,msl/ncam/labels/train/NLB_463551084EDR_F0411534NCAM00385M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,116889,19,unresolved_no_explicit_pair_metadata,42,42,bedrock_big_rock_boundary|fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
10,32,NLB_512730161EDR_F0532980NCAM00265M1,train,F0532980NCAM00265M1,msl/ncam/images/edr/NLB_512730161EDR_F0532980NCAM00265M1.JPG,msl/ncam/labels/train/NLB_512730161EDR_F0532980NCAM00265M1.png,candidate_unreviewed,multiple_candidate_regions|bedrock_big_rock_boundary|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,3,101099,2,unresolved_no_explicit_pair_metadata,42,42,bedrock_big_rock_boundary|fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
11,92,NLB_547800871EDR_F0630346NCAM00354M1,val,F0630346NCAM00354M1,msl/ncam/images/edr/NLB_547800871EDR_F0630346NCAM00354M1.JPG,msl/ncam/labels/train/NLB_547800871EDR_F0630346NCAM00354M1.png,candidate_unreviewed,multiple_candidate_regions|border_truncation_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,14,62736,0,unresolved_no_explicit_pair_metadata,42,42,border_truncation_candidate|fragmented_looking|multiple_candidate_regions|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
12,31,NLB_543533452EDR_F0613226NCAM00312M1,train,F0613226NCAM00312M1,msl/ncam/images/edr/NLB_543533452EDR_F0613226NCAM00312M1.JPG,msl/ncam/labels/train/NLB_543533452EDR_F0613226NCAM00312M1.png,candidate_unreviewed,multiple_candidate_regions|border_truncation_candidate|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,22,89281,0,unresolved_no_explicit_pair_metadata,42,42,border_truncation_candidate|fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
13,91,NLB_467991018EDR_F0440568NCAM00298M1,val,F0440568NCAM00298M1,msl/ncam/images/edr/NLB_467991018EDR_F0440568NCAM00298M1.JPG,msl/ncam/labels/train/NLB_467991018EDR_F0440568NCAM00298M1.png,candidate_unreviewed,multiple_candidate_regions|border_truncation_candidate|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,13,194202,0,unresolved_no_explicit_pair_metadata,42,42,border_truncation_candidate|fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
14,41,NLB_548252623EDR_F0631150NCAM00312M1,train,F0631150NCAM00312M1,msl/ncam/images/edr/NLB_548252623EDR_F0631150NCAM00312M1.JPG,msl/ncam/labels/train/NLB_548252623EDR_F0631150NCAM00312M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,14,61338,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
15,93,NLB_490004046EDR_F0482122NCAM00281M1,train,F0482122NCAM00281M1,msl/ncam/images/edr/NLB_490004046EDR_F0482122NCAM00281M1.JPG,msl/ncam/labels/train/NLB_490004046EDR_F0482122NCAM00281M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,9,86480,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
16,113,NLB_617309155EDR_F0762672NCAM00270M1,train,F0762672NCAM00270M1,msl/ncam/images/edr/NLB_617309155EDR_F0762672NCAM00270M1.JPG,msl/ncam/labels/train/NLB_617309155EDR_F0762672NCAM00270M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,17,85892,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
17,16,NLB_557555419EDR_F0652882NCAM00296M1,train,F0652882NCAM00296M1,msl/ncam/images/edr/NLB_557555419EDR_F0652882NCAM00296M1.JPG,msl/ncam/labels/train/NLB_557555419EDR_F0652882NCAM00296M1.png,candidate_unreviewed,isolated_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,1,1,0,unresolved_no_explicit_pair_metadata,42,42,isolated_candidate|tiny_component_candidate,deterministic development-only candidate selection; requires manual instance review
18,132,NLB_517255503EDR_F0541610NCAM07753M1,train,F0541610NCAM07753M1,msl/ncam/images/edr/NLB_517255503EDR_F0541610NCAM07753M1.JPG,msl/ncam/labels/train/NLB_517255503EDR_F0541610NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,13,82014,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
19,144,NLB_489742424EDR_F0481970NCAM07753M1,val,F0481970NCAM07753M1,msl/ncam/images/edr/NLB_489742424EDR_F0481970NCAM07753M1.JPG,msl/ncam/labels/train/NLB_489742424EDR_F0481970NCAM07753M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,4,78597,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
20,147,NLB_528262409EDR_F0580774NCAM00257M1,train,F0580774NCAM00257M1,msl/ncam/images/edr/NLB_528262409EDR_F0580774NCAM00257M1.JPG,msl/ncam/labels/train/NLB_528262409EDR_F0580774NCAM00257M1.png,candidate_unreviewed,multiple_candidate_regions|very_large_component_candidate|tiny_component_candidate|rgb_only_or_geometry_unresolved,6,146055,0,unresolved_no_explicit_pair_metadata,42,42,fragmented_looking|multiple_candidate_regions|tiny_component_candidate|very_large_component_candidate,deterministic development-only candidate selection; requires manual instance review
